"date";"route";"stamp";"price_brl"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"777.9"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"819.81"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"925.37"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"941.31"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"1062.67"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"1070.26"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"1209.62"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"1309.9"
"2026-01-01";"GYN-CAC";"2025-11-13T18-28-07-985Z";"1500.9"
