airline,price_brl,price_label,departure,arrival
"Azul","1157.79","R$ 1.157,79","06:00","11:59"
"Azul","1157.79","R$ 1.157,79","11:40","18:10"
"Azul","1263.9","R$ 1.263,90","11:40","18:10"
"Azul","1265.11","R$ 1.265,11","11:40","18:10"
"Azul","1277.91","R$ 1.277,91","11:40","18:10"
"Azul","1373.41","R$ 1.373,41","11:40","18:10"
"Azul","1400.98","R$ 1.400,98","11:40","18:10"
"Azul","1509.29","R$ 1.509,29","11:40","18:10"
"Azul","1510.9","R$ 1.510,90","11:40","18:10"
"Azul","1848.9","R$ 1.848,90","11:40","18:10"
"Azul","2172.91","R$ 2.172,91","11:40","18:10"
"Azul","2295.98","R$ 2.295,98","11:40","18:10"
"Azul","2409.21","R$ 2.409,21","11:40","18:10"
