"date";"route";"stamp";"price_brl"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"439.86"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"481.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"504.66"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"525.66"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"552.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"575.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"651.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"705.83"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"731.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"733.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"763.73"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"775.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"874.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"913.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"958.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"964.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"997.85"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1026.77"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1063.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1070.26"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1095.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1150.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1172.42"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1186.87"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1204.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1209.62"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1289.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1294.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1397.24"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1398.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1488.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1675.97"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1745.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1809.62"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1854.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1909.77"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"1964.9"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"2115.46"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"2303.71"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"2659.75"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"3060.39"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"3499"
"2025-12-31";"IGU-BSB";"2025-11-13T15-53-44-842Z";"3641.15"
