"date";"route";"stamp";"price_brl"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"789.9"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"821.99"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"1662.1"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"1691.52"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"1842.9"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"1875.52"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"1903.2"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"2044.99"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"2506.86"
"2026-02-05";"UDI-CAC";"2025-11-12T13-32-42-710Z";"2690.86"
