airline,price_brl,price_label,departure,arrival
"Azul","668.54","R$ 668,54","06:00","11:59"
"GOL","668.54","R$ 668,54","11:40","18:10"
"GOL","855.19","R$ 855,19","11:40","18:10"
"GOL","926.41","R$ 926,41","11:40","18:10"
"GOL","1033.73","R$ 1.033,73","11:40","18:10"
"GOL","1068.98","R$ 1.068,98","11:40","18:10"
"GOL","1122.34","R$ 1.122,34","11:40","18:10"
"GOL","1157.79","R$ 1.157,79","11:40","18:10"
"GOL","1263.9","R$ 1.263,90","11:40","18:10"
"GOL","1265.11","R$ 1.265,11","11:40","18:10"
"GOL","1373.41","R$ 1.373,41","11:40","18:10"
"GOL","1510.9","R$ 1.510,90","11:40","18:10"
"GOL","1848.9","R$ 1.848,90","11:40","18:10"
"GOL","1894.9","R$ 1.894,90","11:40","18:10"
