airline,iata,price_brl,raw_price,stops,depart,arrive
,,855.19,R$ 85519,,,
,,890.99,R$ 89099,,,
,,925.84,R$ 92584,,,
,,1029.5,R$ 1.02950,,,
,,1033.1,R$ 1.03310,,,
,,1068.98,R$ 1.06898,,,
,,1121.66,R$ 1.12166,,,
,,1157.08,R$ 1.15708,,,
,,1263.9,R$ 1.26390,,,
,,1264.34,R$ 1.26434,,,
,,1372.58,R$ 1.37258,,,
,,1825.96,R$ 1.82596,,,
,,1848.9,R$ 1.84890,,,
,,1894.9,R$ 1.89490,,,
,,3499,R$ 3.49900,,,
