"date";"route";"stamp";"price_brl"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"866.9"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"902.13"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"1212.9"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"1228.07"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"1666.88"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"1826.88"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"2186.78"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"2509.16"
"2026-01-24";"UDI-CAC";"2025-11-12T13-28-05-224Z";"2693.16"
