"date";"route";"stamp";"price_brl"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"406.08"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"428.31"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"444.9"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"471.14"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"563.31"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"565"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"619.64"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"620.9"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"708.9"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"719.9"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"737.71"
"2026-02-04";"GYN-CAC";"2025-11-13T18-44-36-822Z";"799.9"
