"date";"route";"stamp";"price_brl"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"290.41"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"377.83"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"435.23"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"543.52"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"599.17"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"603"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"667.9"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"690.41"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"735.1"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"761.05"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"784.9"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"881.14"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"929.15"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"968.56"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"981.43"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"986.31"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1036.55"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1047.9"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1048.03"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1053.13"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1092.41"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1123.48"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1132.8"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1212.27"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1427.12"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1527.17"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1547.12"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1632.38"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1635.22"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1675.9"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1722.84"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1731.47"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1828.6"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1959.92"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1962.29"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"1966.26"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2079.92"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2107.86"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2122.84"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2127.29"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2156.54"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2301.34"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2503.21"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2505.22"
"2025-11-29";"BSB-IGU";"2025-11-13T02-06-19-642Z";"2559.9"
