airline,price_brl,price_label,departure,arrival
"Azul","846.81","R$ 846,81","11:40","18:10"
"Azul","855.19","R$ 855,19","06:00","11:59"
"Azul","855.19","R$ 855,19","11:40","18:10"
"Azul","926.41","R$ 926,41","11:40","18:10"
"Azul","968.31","R$ 968,31","11:40","18:10"
"Azul","1014.9","R$ 1.014,90","11:40","18:10"
"Azul","1033.73","R$ 1.033,73","11:40","18:10"
"Azul","1050.28","R$ 1.050,28","11:40","18:10"
"Azul","1068.98","R$ 1.068,98","11:40","18:10"
"Azul","1122.34","R$ 1.122,34","11:40","18:10"
