"date";"route";"stamp";"price_brl"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"575.8"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"682.43"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"845.12"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"993.01"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"1140.91"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"1410.29"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"1558.19"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"1605.72"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"2033.57"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"2693.82"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"2920.94"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"2994.89"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"3063.56"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"3290.68"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"3676.27"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"3692.11"
"2026-01-31";"UDI-ASU";"2025-11-14T03-53-27-130Z";"5218.61"
