"date";"route";"stamp";"price_brl"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"1457.83"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"1605.72"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"1869.82"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"1991.31"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"2123.36"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"3126.94"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"3354.07"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"4046.01"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"4537.23"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"4542.52"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"4764.36"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"5033.74"
"2025-12-13";"UDI-ASU";"2025-11-14T03-37-38-884Z";"5260.87"
