airline,price_brl,price_label,departure,arrival
"Azul","834.83","R$ 834,83","06:00","11:59"
"GOL","834.83","R$ 834,83","11:40","18:10"
"GOL","1068.98","R$ 1.068,98","11:40","18:10"
"GOL","1157.79","R$ 1.157,79","11:40","18:10"
"GOL","1180.97","R$ 1.180,97","11:40","18:10"
"GOL","1263.9","R$ 1.263,90","11:40","18:10"
"GOL","1265.11","R$ 1.265,11","11:40","18:10"
"GOL","1277.91","R$ 1.277,91","11:40","18:10"
"GOL","1307.93","R$ 1.307,93","11:40","18:10"
"GOL","1373.41","R$ 1.373,41","11:40","18:10"
