airline,price_brl,price_label,departure,arrival
"Azul","846.81","R$ 846,81","06:00","11:59"
"Azul","846.81","R$ 846,81","06:10","09:45"
"Azul","926.41","R$ 926,41","06:10","09:45"
"Azul","968.31","R$ 968,31","06:10","09:45"
"Azul","1014.9","R$ 1.014,90","06:10","09:45"
"Azul","1033.73","R$ 1.033,73","06:10","09:45"
"Azul","1122.34","R$ 1.122,34","06:10","09:45"
"Azul","1263.9","R$ 1.263,90","06:10","09:45"
"Azul","1277.91","R$ 1.277,91","06:10","09:45"
"Azul","1398.03","R$ 1.398,03","06:10","09:45"
"Azul","1400.98","R$ 1.400,98","06:10","09:45"
"Azul","1405.71","R$ 1.405,71","06:10","09:45"
"Azul","1509.29","R$ 1.509,29","06:10","09:45"
