airline,iata,price_brl,raw_price,stops,depart,arrive
,,925.84,R$ 92584,,,
,,1014.9,R$ 1.01490,,,
,,1033.1,R$ 1.03310,,,
,,1121.66,R$ 1.12166,,,
,,1263.9,R$ 1.26390,,,
,,1510.9,R$ 1.51090,,,
,,1848.9,R$ 1.84890,,,
,,1894.9,R$ 1.89490,,,
,,2135.05,R$ 2.13505,,,
,,2280.85,R$ 2.28085,,,
,,2432.9,R$ 2.43290,,,
,,3239.89,R$ 3.23989,,,
,,3412.69,R$ 3.41269,,,
,,3497.9,R$ 3.49790,,,
