airline,iata,price_brl,raw_price,stops,depart,arrive
,,719.01,R$ 71901,,,
,,854.01,R$ 85401,,,
,,855.19,R$ 85519,,,
,,855.62,R$ 85562,,,
,,925.61,R$ 92561,,,
,,925.84,R$ 92584,,,
,,1016.27,R$ 1.01627,,,
